Name,Brand,Price,Product_URL,Image_URL
'Air Force 1 GORE-TEX' Sneakers,Nike,253 €,https://www.farfetch.com//de/shopping/men/nike-air-force-1-gore-tex-sneakers-item-15820382.aspx,https://cdn-images.farfetch-contents.com/15/75/03/59/15750359_29225303_300.jpg
'OOO Out of Office' Sneakers,Off-White,390 €,https://www.farfetch.com//de/shopping/men/off-white-ooo-out-of-office-sneakers-item-15280758.aspx,https://cdn-images.farfetch-contents.com/15/92/85/78/15928578_29563107_300.jpg
'Rython' Sneakers ,Gucci,790 €,https://www.farfetch.com//de/shopping/men/gucci-rython-sneakers-item-15848425.aspx,https://cdn-images.farfetch-contents.com/15/92/85/78/15928578_29561767_300.jpg
'Air Jordan 1 Mid' Sneakers,Jordan,267 €,https://www.farfetch.com//de/shopping/men/jordan-air-jordan-1-mid-sneakers-item-15848431.aspx,https://cdn-images.farfetch-contents.com/15/68/91/75/15689175_29096768_300.jpg
'Yeezy Boost 350 V2' Sneakers,adidas YEEZY,625 €,https://www.farfetch.com//de/shopping/men/adidas-yeezy-yeezy-boost-350-v2-sneakers-item-15477806.aspx,https://cdn-images.farfetch-contents.com/15/68/91/75/15689175_29098127_300.jpg
'C-Run 3000' Sneakers,Marcelo Burlon County of Milan,335 €,https://www.farfetch.com//de/shopping/men/marcelo-burlon-county-of-milan-c-run-3000-sneakers-item-15615058.aspx,https://cdn-images.farfetch-contents.com/14/24/74/83/14247483_20174107_300.jpg
metal appliqué Oxford shoes,Neil Barrett,394 €,https://www.farfetch.com//de/shopping/men/neil-barrett-metal-applique-oxford-shoes-item-15837269.aspx,https://cdn-images.farfetch-contents.com/14/24/74/83/14247483_20174116_300.jpg
Oxford-Schuhe mit Kroko-Effekt,Magnanni,490 €,https://www.farfetch.com//de/shopping/men/magnanni-oxford-schuhe-mit-kroko-effekt-item-15588871.aspx,https://cdn-images.farfetch-contents.com/15/90/67/69/15906769_29498292_300.jpg
'Original' Loafer,Philipp Plein,650 €,https://www.farfetch.com//de/shopping/men/philipp-plein-original-loafer-item-14027405.aspx,https://cdn-images.farfetch-contents.com/15/90/67/69/15906769_29498290_300.jpg
lace-up shoes,Henderson Baracco,390 €,https://www.farfetch.com//de/shopping/men/henderson-baracco-lace-up-shoes-item-15842095.aspx,https://cdn-images.farfetch-contents.com/15/94/00/80/15940080_29575230_300.jpg
High-Top-Sneakers mit Einsätzen,Maison Margiela,730 €,https://www.farfetch.com//de/shopping/men/maison-margiela-high-top-sneakers-mit-einsatzen-item-15788012.aspx,https://cdn-images.farfetch-contents.com/15/94/00/80/15940080_29576289_300.jpg
'Yeezy Boost 700 MNVN' Sneakers,adidas YEEZY,806 €,https://www.farfetch.com//de/shopping/men/adidas-yeezy-yeezy-boost-700-mnvn-sneakers-item-15464458.aspx,https://cdn-images.farfetch-contents.com/15/80/43/68/15804368_29161801_300.jpg
'Air Jordan 1 Mid Oakland' Sneakers,Jordan,246 €,https://www.farfetch.com//de/shopping/men/jordan-air-jordan-1-mid-oakland-sneakers-item-15840639.aspx,https://cdn-images.farfetch-contents.com/15/80/43/68/15804368_29161805_300.jpg
High-Top-Sneakers mit Lederbesatz,AMI,270 €,https://www.farfetch.com//de/shopping/men/ami-high-top-sneakers-mit-lederbesatz-item-15134094.aspx,https://cdn-images.farfetch-contents.com/15/91/17/10/15911710_29438625_300.jpg
Schnürstiefel aus Wildleder,Alexander McQueen,590 €,https://www.farfetch.com//de/shopping/men/alexander-mcqueen-schnurstiefel-aus-wildleder-item-15293967.aspx,https://cdn-images.farfetch-contents.com/15/29/39/67/15293967_28815322_300.jpg
'Clean 90' Sneakers,Axel Arigato,191 €,https://www.farfetch.com//de/shopping/men/axel-arigato-clean-90-sneakers-item-15259101.aspx,https://cdn-images.farfetch-contents.com/15/29/39/67/15293967_28811602_300.jpg
Sneakers mit Schnürung,Santoni,387 €,https://www.farfetch.com//de/shopping/men/santoni-sneakers-mit-schnurung-item-15088225.aspx,https://cdn-images.farfetch-contents.com/15/25/91/01/15259101_27715246_300.jpg
'Purestar' Sneakers,Golden Goose,395 €,https://www.farfetch.com//de/shopping/men/golden-goose-purestar-sneakers-item-14784880.aspx,https://cdn-images.farfetch-contents.com/15/25/91/01/15259101_27715251_300.jpg
'Spectre' Sneakers,Givenchy,650 €,https://www.farfetch.com//de/shopping/men/givenchy-spectre-sneakers-item-15072766.aspx,https://cdn-images.farfetch-contents.com/15/08/82/25/15088225_28444694_300.jpg
"""Tennis"" Sneakers ",Dsquared2,350 €,https://www.farfetch.com//de/shopping/men/dsquared2-tennis-sneakers-item-15426010.aspx,https://cdn-images.farfetch-contents.com/15/08/82/25/15088225_28444695_300.jpg
'Boot' Sneakers,Off-White,490 €,https://www.farfetch.com//de/shopping/men/off-white-boot-sneakers-item-15486219.aspx,https://cdn-images.farfetch-contents.com/14/78/48/80/14784880_27968138_300.jpg
Sneakers mit dicker Sohle,Dsquared2,395 €,https://www.farfetch.com//de/shopping/men/dsquared2-sneakers-mit-dicker-sohle-item-15426084.aspx,https://cdn-images.farfetch-contents.com/14/78/48/80/14784880_27964592_300.jpg
'GEL 1090' Sneakers,ASICS,95 €,https://www.farfetch.com//de/shopping/men/asics-gel-1090-sneakers-item-15755810.aspx,https://cdn-images.farfetch-contents.com/15/07/27/66/15072766_27892802_300.jpg
'V-10' Sneakers,Veja,125 €,https://www.farfetch.com//de/shopping/men/veja-v-10-sneakers-item-14814958.aspx,https://cdn-images.farfetch-contents.com/15/07/27/66/15072766_27892803_300.jpg
